number,value,duration,params_dropout,params_hidden_dim,params_look_back,state
46,0.457866370677948,0 days 00:00:08.623805,0.1,192,4,COMPLETE
47,0.46386590600013733,0 days 00:00:10.158855,0.0,208,12,COMPLETE
48,0.42452070116996765,0 days 00:00:09.833624,0.5,160,8,COMPLETE
49,0.45741796493530273,0 days 00:00:20.187663,0.5,112,4,COMPLETE
50,0.528157651424408,0 days 00:00:09.871556,0.4,128,24,COMPLETE
51,0.46440640091896057,0 days 00:00:07.755414,0.35000000000000003,160,8,COMPLETE
52,0.43653395771980286,0 days 00:00:09.365528,0.35000000000000003,160,8,COMPLETE
53,0.42938971519470215,0 days 00:00:08.576980,0.45,224,8,COMPLETE
54,0.4714145362377167,0 days 00:00:08.655461,0.05,144,8,COMPLETE
55,0.4808516204357147,0 days 00:00:09.410922,0.0,192,12,COMPLETE
56,0.45154106616973877,0 days 00:00:10.567078,0.1,176,4,COMPLETE
57,0.41134825348854065,0 days 00:00:09.162335,0.05,256,8,COMPLETE
58,0.4258003830909729,0 days 00:00:09.042632,0.15000000000000002,256,8,COMPLETE
59,0.4708835780620575,0 days 00:00:09.533207,0.2,240,12,COMPLETE
60,0.42516717314720154,0 days 00:00:08.659786,0.5,256,8,COMPLETE
61,0.4166669547557831,0 days 00:00:09.027944,0.5,256,8,COMPLETE
62,0.44274526834487915,0 days 00:00:10.259492,0.5,256,8,COMPLETE
63,0.4414603114128113,0 days 00:00:09.643900,0.5,240,8,COMPLETE
64,0.44706428050994873,0 days 00:00:10.822092,0.45,256,8,COMPLETE
65,0.4578799605369568,0 days 00:00:10.715060,0.45,224,4,COMPLETE
66,0.4284815490245819,0 days 00:00:09.164311,0.5,256,8,COMPLETE
67,0.4679625928401947,0 days 00:00:08.432924,0.45,256,12,COMPLETE
68,0.46135374903678894,0 days 00:00:09.692435,0.5,240,4,COMPLETE
69,0.4226840138435364,0 days 00:00:08.602097,0.35000000000000003,224,8,COMPLETE
70,0.4659810960292816,0 days 00:00:08.515718,0.30000000000000004,240,12,COMPLETE
71,0.43052881956100464,0 days 00:00:10.434753,0.35000000000000003,224,8,COMPLETE
72,0.449033260345459,0 days 00:00:09.247104,0.4,240,8,COMPLETE
73,0.4339529573917389,0 days 00:00:11.293954,0.45,208,8,COMPLETE
74,0.44802191853523254,0 days 00:00:11.062250,0.5,224,8,COMPLETE
75,0.4543570578098297,0 days 00:00:25.754693,0.45,32,8,COMPLETE
76,0.42258119583129883,0 days 00:00:08.504914,0.5,240,8,COMPLETE
77,0.4547830820083618,0 days 00:00:13.720083,0.5,240,4,COMPLETE
78,0.4581088423728943,0 days 00:00:16.757876,0.4,80,8,COMPLETE
79,0.46933743357658386,0 days 00:00:08.734688,0.5,256,12,COMPLETE
80,0.48794329166412354,0 days 00:00:11.177181,0.5,240,8,COMPLETE
81,0.47509145736694336,0 days 00:00:12.953582,0.45,224,8,COMPLETE
82,0.4384196996688843,0 days 00:00:08.961686,0.5,256,8,COMPLETE
83,0.4236207902431488,0 days 00:00:09.338743,0.05,256,8,COMPLETE
84,0.4162847101688385,0 days 00:00:09.519284,0.0,256,8,COMPLETE
85,0.43126180768013,0 days 00:00:09.036961,0.0,256,8,COMPLETE
86,0.4583224356174469,0 days 00:00:07.790641,0.0,240,20,COMPLETE
87,0.43185561895370483,0 days 00:00:09.800262,0.30000000000000004,256,8,COMPLETE
88,0.41998374462127686,0 days 00:00:10.259393,0.05,240,8,COMPLETE
89,0.4526049792766571,0 days 00:00:10.141983,0.05,240,4,COMPLETE
90,0.45420733094215393,0 days 00:00:09.844480,0.05,224,12,COMPLETE
91,0.4305323362350464,0 days 00:00:09.669539,0.0,240,8,COMPLETE
92,0.422425240278244,0 days 00:00:09.224163,0.0,256,8,COMPLETE
93,0.4572676718235016,0 days 00:00:08.688246,0.0,256,8,COMPLETE
94,0.4319516122341156,0 days 00:00:09.331363,0.05,256,8,COMPLETE
95,0.45157355070114136,0 days 00:00:10.654401,0.0,240,8,COMPLETE
96,0.41986361145973206,0 days 00:00:08.775078,0.1,256,8,COMPLETE
97,0.4367316961288452,0 days 00:00:10.111473,0.05,256,8,COMPLETE
98,0.43304526805877686,0 days 00:00:08.733137,0.0,256,8,COMPLETE
99,0.4242737293243408,0 days 00:00:10.299963,0.1,240,8,COMPLETE
