shp,spei,model,dec,period,r2,mape,mae,rmse,mse
shp-1,spei-9,TCN,None,train,0.773937166,165.1924014,0.3506694,0.47651768,0.2270691
shp-1,spei-9,TCN,None,val,0.454502642,97.64897227,0.35633236,0.47291213,0.2236459
shp-1,spei-9,TCN,VMD,test,0.777330264,64.06008601,0.2611407,0.30660656,0.09400759
shp-1,spei-9,TCN,VMD,train,0.861325487,130.1120758,0.27971843,0.37321815,0.13929178
shp-1,spei-9,TCN,VMD,val,0.634062946,92.43425131,0.3050394,0.38733554,0.15002881
shp-10,spei-1,LSTM,EEMD,test,0.497562647,185.7087016,0.65446633,0.7925265,0.62809825
shp-10,spei-1,LSTM,EEMD,train,0.600436956,273.4900475,0.5013563,0.61412406,0.37714836
shp-10,spei-1,LSTM,EEMD,val,0.518319875,155.9195042,0.54823333,0.6645808,0.4416677
shp-10,spei-1,LSTM,None,test,0,99.30022359,0.88410336,1.129416,1.2755805
shp-10,spei-1,LSTM,None,train,0.003684282,105.0183058,0.7583797,0.9697548,0.94042444
shp-10,spei-1,LSTM,None,val,0,99.77355003,0.76229733,0.97144043,0.9436965
shp-10,spei-1,LSTM,VMD,test,0.479186296,133.9725494,0.65013844,0.8068895,0.6510706
shp-10,spei-1,LSTM,VMD,train,0.661970496,327.1351576,0.44550225,0.5648599,0.31906673
shp-10,spei-1,LSTM,VMD,val,0.414041221,114.7457957,0.5701441,0.73299664,0.5372841
shp-10,spei-1,RNN,EEMD,test,0.503517568,153.4680963,0.63988084,0.787816,0.62065405
shp-10,spei-1,RNN,EEMD,train,0.578368247,390.9053564,0.4902538,0.63085586,0.39797908
shp-10,spei-1,RNN,EEMD,val,0.519919872,155.8959603,0.52692163,0.66347617,0.4402006
shp-10,spei-1,RNN,None,test,0,103.5309315,0.88832253,1.1329515,1.283579
shp-10,spei-1,RNN,None,train,0.00391227,102.4477243,0.76058465,0.9696439,0.94020927
shp-10,spei-1,RNN,None,val,0,101.4107347,0.7620619,0.97078574,0.94242495
shp-10,spei-1,RNN,VMD,test,0.596304804,97.18964696,0.5445952,0.71039456,0.5046604
shp-10,spei-1,RNN,VMD,train,0.563672841,426.8419266,0.5054264,0.64175546,0.4118501
shp-10,spei-1,RNN,VMD,val,0.497225642,94.36536431,0.51098317,0.6789769,0.46100965
shp-10,spei-1,TCN,EEMD,test,0.397695184,164.5547032,0.71633667,0.8677228,0.75294286
shp-10,spei-1,TCN,EEMD,train,0.498288929,149.9673963,0.546814,0.6881614,0.47356611
shp-10,spei-1,TCN,EEMD,val,0.566310495,127.5009155,0.5287826,0.63060576,0.3976636
shp-10,spei-1,TCN,None,test,0,99.45175648,0.89158887,1.135901,1.2902709
shp-10,spei-1,TCN,None,train,0,105.1942825,0.76557136,0.97225076,0.9452715
shp-10,spei-1,TCN,None,val,0,98.67975116,0.7555663,0.9688294,0.9386304
shp-10,spei-1,TCN,VMD,test,0.497828901,131.8011284,0.6475898,0.7923165,0.6277655
shp-10,spei-1,TCN,VMD,train,0.476811051,244.1133022,0.56012625,0.7027369,0.49383914
shp-10,spei-1,TCN,VMD,val,0.380819082,85.89189649,0.54730284,0.75348955,0.5677465
shp-10,spei-12,LSTM,EEMD,test,0.953172494,90.87362289,0.14285198,0.19775993,0.039108988
shp-10,spei-12,LSTM,EEMD,train,0.987097706,38.92892003,0.08796234,0.112383395,0.012630028
shp-10,spei-12,LSTM,EEMD,val,0.965691339,36.00160778,0.1157187,0.14303206,0.02045817
shp-10,spei-12,LSTM,None,test,0.492766857,96.01789713,0.5071083,0.650866,0.42362654
shp-10,spei-12,LSTM,None,train,0.86882399,99.57337379,0.25608692,0.35834047,0.1284079
shp-10,spei-12,LSTM,None,val,0.574735224,67.25559235,0.3737561,0.50357157,0.25358433
shp-10,spei-12,LSTM,VMD,test,0.87314488,75.60244799,0.2339067,0.3254931,0.10594576
shp-10,spei-12,LSTM,VMD,train,0.953490041,58.86881351,0.14597735,0.21337408,0.045528498
shp-10,spei-12,LSTM,VMD,val,0.890665792,59.20586586,0.18368429,0.25533453,0.06519572
shp-10,spei-12,RNN,EEMD,test,0.975929592,60.75786948,0.10195106,0.14178474,0.020102914
shp-10,spei-12,RNN,EEMD,train,0.98676453,34.16209221,0.08763511,0.11382518,0.012956172
shp-10,spei-12,RNN,EEMD,val,0.965226475,36.73822582,0.10970738,0.1439978,0.020735366
shp-10,spei-12,RNN,None,test,0.745850533,88.08277249,0.2885136,0.46071503,0.21225834
shp-10,spei-12,RNN,None,train,0.874844506,98.56742024,0.23759003,0.35002062,0.122514434
shp-10,spei-12,RNN,None,val,0.74889648,58.18908215,0.25076917,0.38695273,0.14973241
shp-10,spei-12,RNN,VMD,test,0.907228634,61.95680499,0.1916805,0.27835226,0.07747999
shp-10,spei-12,RNN,VMD,train,0.962130629,50.09714961,0.13570572,0.19253634,0.037070245
shp-10,spei-12,RNN,VMD,val,0.889904186,60.68376303,0.19561903,0.25622228,0.06564986
shp-10,spei-12,TCN,EEMD,test,0.932336368,71.02774978,0.19046384,0.23771985,0.056510724
shp-10,spei-12,TCN,EEMD,train,0.97313894,44.28812563,0.11709908,0.16215497,0.026294233
shp-10,spei-12,TCN,EEMD,val,0.947973732,47.42368758,0.14937626,0.17613386,0.031023135
shp-10,spei-12,TCN,None,test,0.703689128,105.9208512,0.32692385,0.4974639,0.24747033
shp-10,spei-12,TCN,None,train,0.867969036,95.09845376,0.23826498,0.35950637,0.12924482
shp-10,spei-12,TCN,None,val,0.749560744,59.96100903,0.24131237,0.38644058,0.14933631
shp-10,spei-12,TCN,VMD,test,0.755403504,106.8436861,0.32047692,0.4519734,0.20427997
shp-10,spei-12,TCN,VMD,train,0.924895503,80.3425014,0.2014114,0.27114502,0.073519625
shp-10,spei-12,TCN,VMD,val,0.850852326,78.04019451,0.22733423,0.29822204,0.08893639
shp-10,spei-3,LSTM,EEMD,test,0.67563805,372.6963997,0.46692285,0.60372,0.36447787
shp-10,spei-3,LSTM,EEMD,train,0.829054281,503.2028198,0.32950494,0.40777558,0.16628093
shp-10,spei-3,LSTM,EEMD,val,0.725138187,133.3043456,0.39688674,0.52052397,0.27094522
shp-10,spei-3,LSTM,None,test,0.177018881,188.7951851,0.73819304,0.96164674,0.92476445
shp-10,spei-3,LSTM,None,train,0.406119704,890.165329,0.59617543,0.7600489,0.5776744
shp-10,spei-3,LSTM,None,val,0.252099037,294.323802,0.6907622,0.85862905,0.7372439
shp-10,spei-3,LSTM,VMD,test,0.703221887,261.672473,0.45846033,0.5774795,0.33348253
shp-10,spei-3,LSTM,VMD,train,0.752478823,1034.883595,0.3868258,0.49067992,0.24076678
shp-10,spei-3,LSTM,VMD,val,0.587747931,188.4445786,0.48794708,0.63747764,0.40637776
shp-10,spei-3,RNN,EEMD,test,0.70856151,323.8363266,0.43754974,0.5722609,0.32748255
shp-10,spei-3,RNN,EEMD,train,0.863073438,363.9591455,0.29175147,0.36495218,0.13319008
shp-10,spei-3,RNN,EEMD,val,0.770006374,123.5015988,0.38541642,0.47614744,0.22671638
shp-10,spei-3,RNN,None,test,0.211876035,183.2499862,0.7076511,0.94106126,0.8855963
shp-10,spei-3,RNN,None,train,0.421488643,458.5765839,0.60574883,0.75014985,0.5627248
