DATE,real,pred
2004-08-31,1.2836161,0.6650941
2004-09-30,0.12313046,0.068769686
2004-10-31,-0.3938424,-0.6768061
2004-11-30,-0.4603099,-0.15852022
2004-12-31,0.83246076,0.5374674
2005-01-31,-0.37975952,0.12561065
2005-02-28,-0.41481015,-0.14822811
2005-03-31,-0.45647237,0.122356005
2005-04-30,-1.2689048,0.07136548
2005-05-31,1.142897,0.0547769
2005-06-30,-1.6200327,-0.789638
2005-07-31,-0.387743,-0.050131332
2005-08-31,-0.4780064,0.10670931
2005-09-30,-0.029207371,-0.5428464
2005-10-31,-0.7347165,-0.6324367
2005-11-30,-0.7835007,-0.27890143
2005-12-31,0.4321094,-0.40031433
2006-01-31,1.7585105,0.61430806
2006-02-28,0.44366878,0.51074696
2006-03-31,-0.8387886,-0.60652107
2006-04-30,-1.3284756,-0.27558234
2006-05-31,0.4241484,-0.011919353
2006-06-30,-1.1916369,-0.8644448
2006-07-31,0.53789425,-0.10537381
2006-08-31,-1.0246168,-0.16394007
2006-09-30,-0.5124924,0.1957117
2006-10-31,-1.7342637,-0.2811243
2006-11-30,0.027566986,0.23271063
2006-12-31,-0.20387954,-0.317962
2007-01-31,-0.28089333,0.12468562
2007-02-28,0.2411261,0.40765268
2007-03-31,1.48646,0.7862119
2007-04-30,-0.37749535,0.26538402
2007-05-31,-0.8047142,-0.36911398
2007-06-30,0.7316685,0.38069987
2007-07-31,-0.8757897,0.031073734
2007-08-31,0.7862393,0.21221066
2007-09-30,1.2999505,1.3768333
2007-10-31,2.841874,1.9408882
2007-11-30,-0.9106285,0.8980109
2007-12-31,-0.0039034544,0.7478989
2008-01-31,2.8124638,1.6237236
2008-02-29,0.35800377,0.57899517
2008-03-31,-1.0665095,-0.435706
2008-04-30,-0.7945374,-0.49504906
2008-05-31,-1.3521641,-0.4054742
2008-06-30,-1.3864185,-0.56895465
2008-07-31,-1.2328404,-0.9164587
2008-08-31,-0.114904255,-0.058627535
2008-09-30,1.4771309,0.31243652
2008-10-31,-0.3938949,0.10347561
2008-11-30,-0.58783185,-0.010597199
2008-12-31,-0.21056722,0.6231871
2009-01-31,-0.6230055,0.57890344
2009-02-28,-0.40619713,0.3518296
2009-03-31,-0.33710366,-0.17357126
2009-04-30,-1.4035369,-0.8953076
2009-05-31,-0.58576137,-0.67604905
2009-06-30,-1.5004729,-0.59660834
2009-07-31,0.92650044,0.23346013
2009-08-31,1.2718213,0.5697283
2009-09-30,-1.0494281,-0.9933149
2009-10-31,-1.3453019,-0.5398748
2009-11-30,2.1216679,0.96251804
2009-12-31,0.3795361,0.13130587
2010-01-31,-0.74761283,-0.13761489
2010-02-28,1.8721788,0.7296536
2010-03-31,-0.31130368,0.027742513
2010-04-30,1.8213333,0.60163265
2010-05-31,0.9641176,0.4146771
2010-06-30,0.040325973,-0.6577701
2010-07-31,-1.6823411,-1.1972629
2010-08-31,-0.20349836,0.16970152
2010-09-30,-0.532855,-0.34072357
2010-10-31,0.9704894,0.44907245
2010-11-30,-0.10929639,-0.052869197
2010-12-31,-0.5707176,-0.53492564
